ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
A29155,"-22,9787","-43,20012",1775499626000,46,461,1775499638000,1775499644000,2026-04-06 16:20:49
A29096,"-22,90992","-43,22072",1775499627000,0,LECD133,1775499638000,1775499644000,2026-04-06 16:20:49
A29180,"-22,98381","-43,21304",1775499626000,3,583,1775499638000,1775499644000,2026-04-06 16:20:49
A29100,"-22,96481","-43,17437",1775499627000,0,472,1775499638000,1775499644000,2026-04-06 16:20:49
A29089,"-22,8389","-43,3509",1775499627000,0,711,1775499638000,1775499644000,2026-04-06 16:20:49
A29085,"-22,9802","-43,21562",1775499626000,38,LECD130,1775499638000,1775499644000,2026-04-06 16:20:49
A29162,"-22,91267","-43,2362",1775499626000,14,711,1775499638000,1775499644000,2026-04-06 16:20:49
A29218,"-22,83912","-43,35089",1775499625000,0,711,1775499638000,1775499644000,2026-04-06 16:20:49
A29007,"-22,9005","-43,20858",1775499628000,11,472,1775499638000,1775499644000,2026-04-06 16:20:49
A29017,"-22,97281","-43,20236",1775499627000,22,473,1775499638000,1775499644000,2026-04-06 16:20:49
A29037,"-22,90986","-43,20898",1775499626000,21,474,1775499638000,1775499644000,2026-04-06 16:20:49
A29154,"-22,98319","-43,20272",1775499624000,27,461,1775499638000,1775499644000,2026-04-06 16:20:49
A29098,"-22,89434","-43,2633",1775499629000,0,474,1775499638000,1775499644000,2026-04-06 16:20:49
A29022,"-22,95638","-43,1775",1775499628000,20,583,1775499638000,1775499644000,2026-04-06 16:20:49
A29107,"-22,85997","-43,25367",1775499630000,9,350,1775499638000,1775499644000,2026-04-06 16:20:49
B25586,"-22,905","-43,29369",1775499630000,0,606,1775499638000,1775499654000,2026-04-06 16:20:49
B25575,"-22,91892","-43,22528",1775499569000,26,606,1775499638000,1775499654000,2026-04-06 16:20:49
B25575,"-22,92056","-43,22734",1775499599000,17,606,1775499638000,1775499654000,2026-04-06 16:20:49
B25538,"-22,91609","-43,23697",1775499628000,12,232,1775499638000,1775499654000,2026-04-06 16:20:49
B25575,"-22,92111","-43,22821",1775499629000,31,606,1775499638000,1775499654000,2026-04-06 16:20:49
B25520,"-22,90649","-43,17585",1775499631000,9,232,1775499638000,1775499654000,2026-04-06 16:20:49
D12173,"-22,86853","-43,2571",1775499537000,0,2308,1775499638000,1775499662000,2026-04-06 16:20:49
D12065,"-22,8416","-43,5547",1775499603000,23,895,1775499638000,1775499662000,2026-04-06 16:20:49
C12004,"-21,04516","-40,84192",1775499628000,0,2383,1775499638000,1775499662000,2026-04-06 16:20:49
D12065,"-22,84177","-43,55511",1775499610000,25,895,1775499638000,1775499662000,2026-04-06 16:20:49
D12067,"-22,96512","-43,17432",1775499627000,0,ESPECIAL,1775499638000,1775499662000,2026-04-06 16:20:49
D12062,"-22,89425","-43,56002",1775499630000,7,895,1775499638000,1775499662000,2026-04-06 16:20:49
D12127,"-22,90781","-43,17281",1775499615000,15,2337,1775499638000,1775499662000,2026-04-06 16:20:49
D12057,"-22,87758","-43,56286",1775499633000,35,830,1775499638000,1775499662000,2026-04-06 16:20:49
D12064,"-22,90185","-43,55935",1775499635000,10,850,1775499638000,1775499662000,2026-04-06 16:20:49
B25560,"-22,89953","-43,2111",1775499631000,2,606,1775499638000,1775499654000,2026-04-06 16:20:49
B25569,"-22,90247","-43,29906",1775499631000,0,SV606,1775499638000,1775499654000,2026-04-06 16:20:49
