ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
D33323,-22.8549,-43.4889,2026-04-07 15:49:05-03:00,43,798,2026-04-07 15:49:17-03:00,2026-04-07 15:49:38-03:00,2026-04-07 16:43:46,2026-04-07,15,49,Tuesday,12.0,21.0
A63531,-22.89872,-43.2122,2026-04-07 15:57:41-03:00,11,104,2026-04-07 15:57:47-03:00,2026-04-07 15:57:55-03:00,2026-04-07 16:43:46,2026-04-07,15,57,Tuesday,6.0,8.0
D17512,-22.91645,-43.60842,2026-04-07 16:09:49-03:00,0,2307,2026-04-07 16:09:59-03:00,2026-04-07 16:10:27-03:00,2026-04-07 16:43:46,2026-04-07,16,9,Tuesday,10.0,28.0
C47498,-23.0001,-43.24143,2026-04-07 16:06:23-03:00,41,552,2026-04-07 16:06:44-03:00,2026-04-07 16:07:13-03:00,2026-04-07 16:43:46,2026-04-07,16,6,Tuesday,21.0,29.0
B25524,-22.90207,-43.29071,2026-04-07 16:14:05-03:00,0,232,2026-04-07 16:14:09-03:00,2026-04-07 16:14:15-03:00,2026-04-07 16:43:46,2026-04-07,16,14,Tuesday,4.0,6.0
A71524,-22.95392,-43.19134,2026-04-07 16:05:41-03:00,11,409,2026-04-07 16:05:49-03:00,2026-04-07 16:06:06-03:00,2026-04-07 16:43:46,2026-04-07,16,5,Tuesday,8.0,17.0
A48015,-22.92271,-43.22223,2026-04-07 16:01:06-03:00,12,426,2026-04-07 16:01:24-03:00,2026-04-07 16:01:30-03:00,2026-04-07 16:43:46,2026-04-07,16,1,Tuesday,18.0,6.0
B58068,-22.85057,-43.27721,2026-04-07 16:28:48-03:00,24,312,2026-04-07 16:28:55-03:00,2026-04-07 16:29:20-03:00,2026-04-07 16:43:46,2026-04-07,16,28,Tuesday,7.0,25.0
B11610,-22.90225,-43.2556,2026-04-07 15:50:51-03:00,24,SV363,2026-04-07 15:50:53-03:00,2026-04-07 15:51:21-03:00,2026-04-07 16:43:46,2026-04-07,15,50,Tuesday,2.0,28.0
B58031,-22.92075,-43.25891,2026-04-07 15:47:17-03:00,16,621,2026-04-07 15:47:57-03:00,2026-04-07 15:47:58-03:00,2026-04-07 16:43:46,2026-04-07,15,47,Tuesday,40.0,1.0
A29056,-22.96609,-43.17846,2026-04-07 16:15:10-03:00,31,LECD136,2026-04-07 16:15:20-03:00,2026-04-07 16:15:22-03:00,2026-04-07 16:43:46,2026-04-07,16,15,Tuesday,10.0,2.0
D33013,-22.90595,-43.1906,2026-04-07 16:02:06-03:00,4,SV391,2026-04-07 16:02:10-03:00,2026-04-07 16:02:32-03:00,2026-04-07 16:43:46,2026-04-07,16,2,Tuesday,4.0,22.0
D33190,-22.90032,-43.56471,2026-04-07 15:43:56-03:00,27,796,2026-04-07 15:44:01-03:00,2026-04-07 15:44:28-03:00,2026-04-07 16:43:46,2026-04-07,15,43,Tuesday,5.0,27.0
B71031,-22.96445,-43.17947,2026-04-07 16:34:26-03:00,6,457,2026-04-07 16:34:31-03:00,2026-04-07 16:34:45-03:00,2026-04-07 16:43:46,2026-04-07,16,34,Tuesday,5.0,14.0
C30074,-23.00759,-43.30348,2026-04-07 15:47:53-03:00,6,557,2026-04-07 15:48:03-03:00,2026-04-07 15:48:15-03:00,2026-04-07 16:43:46,2026-04-07,15,47,Tuesday,10.0,12.0
B32803,-22.81463,-43.29718,2026-04-07 16:12:45-03:00,5,2305 - B,2026-04-07 16:12:46-03:00,2026-04-07 16:12:52-03:00,2026-04-07 16:43:46,2026-04-07,16,12,Tuesday,1.0,6.0
B27092,-22.81531,-43.31802,2026-04-07 16:31:04-03:00,24,774,2026-04-07 16:31:11-03:00,2026-04-07 16:31:17-03:00,2026-04-07 16:43:46,2026-04-07,16,31,Tuesday,7.0,6.0
